FoodDisplayName,Description,CarTime,CO2ePer,kCals,Fat,Sugar,Protein,ImageFileName
Apple,"One apple, 125 g",1,44,64,1,15,1,apple.jpg
Banana,"One banana, 100 g",1,83,85,0,19,1,banana.png
Beans,"Tinned Baked Beans, 150 g",3,217,117,1,7,7,beans-baked.jpg
Beef Mince,"Stewed or Cooked, 70 g",37,2875,221,11,0,31,ground-beef.png
Blueberries,100 g,2,121,40,0,9,1,blueberries.jpg
Toast,"2 Slices of Toasted White Bread, 80 g",1,97,235,2,3,8,toast.jpg
Bread,"2 Slices of Bread, 80 g",1,42,241,2,4,9,white-bread.jpg
Broccoli,"Cooked Fresh, 75 g",2,121,21,0,1,2,broccoli.jpg
Butter,"Salted Butter, 2 tbsp",4,304,237,26,0,0,butter.png
Tomates,1/2 a Tin of Tomatoes,1,55,23,0,5,1,tinned-tomatoes.jpg
Carrots,"A Small Raw Carrot, 50 g",1,113,17,0,4,0,carrot.png
Cauliflower,"Cooked Fresh, 60 g",0,22,18,1,2,1,cauliflower.jpg
Cheese,"2 Slices of Cheddar Cheese, 57g",7,524,238,20,0,15,cheese-cheddar.jpg
Parmesan Cheese,"A Sprinkling of Shredded Cheese, 2 tbsp",3,254,132,9,0,12,Parmigiano_Reggiano.jpg
Chicken,"Grilled Chicken Breast, 215 g",11,869,312,5,0,68,chicken-breast.jpg
Chips,"Cooked from Frozen, 125 g",4,329,309,17,2,4,french-fries.jpg
Fizzy Drink,One Bottle Regular Cola,2,170,136,0,36,0,soft-drink.jpg
Sweetcorn,Corn on the Cob,1,55,59,2,2,3,corn-on-the-cob.jpg
Breakfast Cereal,"A Bowl of Cornflakes, 70 g, with Milk, 100 ml ",3,231,276,1,6,5,Cornflakes.jpg
Courgette,"One Courgette, Cooked from Fresh, 60 g",1,95,11,0,1,1,courgette.jpg
Cucumber,"1/2 a Raw Cucmber, 100 g",0,29,14,1,1,1,cucumber.jpg
Digestive,2 Plain Digestives,2,119,174,8,7,2,digestive-plain.png
Chocolate Digestive,2 Digestives Half Coated in Chocolate,4,322,169,9,8,2,chocolate_digestive_biscuit.jpg
Eggs,Two Uncooked Eggs,5,388,164,11,0,16,egg.jpg
Garlic,1 Clove of Garlic,0,2,4,0,0,0,garlic.jpg
Grapes,"Handful of Green Grapes, 30 g",0,24,19,0,5,0,green-grapes.jpg
Gravy,"Thickened, no fat, 2 tbsp",2,148,14,0,0,0,sauce_boat.jpg
Ham,"Unsmoked Ham, 190 g",11,876,219,7,1,37,ham.jpg
Honey,1 tbsp,0,5,40,0,11,0,honey.png
Instant Cereal,"Unsweetened Hot Oat Cereal, 1 packet",1,94,134,3,0,4,Oatmeal.jpg
Jaffa Cakes,2 Jaffa Cakes,1,105,123,3,18,1,Jaffa_cake.png
Chocolate Wafer Bar,2 Bars or 1 Packet,10,761,415,23,37,4,Kit-Kat-Senses.jpg
Leeks,"Cooked Fresh, 100 g",2,160,21,1,2,1,leeks.jpg
Lemon,Juice from 1 Lemon,0,2,0,0,0,0,lemon.jpg
Lettuce,"Raw Lettuce, 40 g",0,15,4,0,1,0,lettuce.jpg
Chocolate Bar,1 Chocolate and Nougat Bar,4,335,310,12,49,3,Milky-way-broken.JPG
Mayonnaise,2 tbsp,2,117,169,18,1,0,mayo.jpg
